input_image,prompt
cat_ids/23_缅因猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat makes one small forward-and-upward hop, lands softly and returns to a comfortable upright seated pose. From 0.00 to 0.30 seconds, it holds the initial seated pose. At 0.30 seconds, one quiet off-screen tongue click draws its gaze slightly above the camera. From 0.30 to 0.85 seconds, the cat leans its chest slightly forward, raises the hindquarters out of the seated position and folds the hind legs into a compact crouch, with both front paws still touching the floor. From 0.85 to 1.10 seconds, the hind legs extend to push against the floor while both front paws lift and reach a short distance forward. From 1.10 to 1.35 seconds, the body travels through one low, compact arc, with all four paws visibly clear of the floor together for a brief moment. The head and chest stay low enough to preserve the available headroom, and the paws remain beneath or just ahead of the body. From 1.35 to 1.65 seconds, the front paws touch down first, followed closely by the hind paws; the elbows and hind legs bend to absorb the landing. The landing is no more than one front-paw length ahead of the starting position. The shadow stays on the floor, visibly separating from the paws during the hop and reconnecting at landing. From 1.65 to 2.50 seconds, the cat lowers its hindquarters, makes a small front-paw placement adjustment beneath the shoulders and raises its chest into an upright, front-facing seated pose near the starting position. By 2.70 seconds, it is comfortably balanced with both front paws on the floor and a relaxed, attentive gaze. This seated posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the camera position, perspective, focal length, crop, focus, exposure, white balance, reference background, floor and lighting consistent. The entire cat, including the ears, paws and any visible tail, remains inside the original frame with clear margins throughout. Only the cat is visible, and the surrounding floor stays clear.

overall_soundscape: Quiet studio room tone continues throughout. One soft off-screen tongue click at 0.30 seconds is followed by faint paw movement during the crouch, a muted push-off and closely spaced soft paw-pad impacts during the landing between 1.35 and 1.65 seconds. The final paw adjustment finishes by 2.70 seconds, leaving only room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/23_缅因猫.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat stays seated while playing with one feather teaser wand, making two light alternating front-paw taps before settling. From 0.00 to 0.20 seconds, it holds the initial seated pose. From 0.20 to 0.60 seconds, one small feather tuft attached directly to the tip of a slender flexible rod enters smoothly from the viewer's right. The tuft stops just ahead of the cat's lower chest, slightly toward the viewer's right and within easy paw reach. The visible rod extends continuously from the tuft through the right edge to an off-screen holder; the holder and hand remain outside the frame. The cat's eyes track the tuft and its head follows with a small turn. From 0.60 to 1.15 seconds, the tuft makes one short sideways sway. Keeping the hindquarters seated and the anatomical right front paw, on the viewer's left, planted for support, the cat lifts its anatomical left front paw, on the viewer's right, taps the tuft once and returns that paw to the floor. From 1.15 to 1.95 seconds, the rod guides the tuft through a short arc toward the viewer's left, just in front of the chest. The cat transfers support onto the now-planted left front paw, lifts the anatomical right front paw, taps the tuft once and returns that paw to the floor. Each paw contact briefly bends the feathers and deflects the rod tip; the tuft remains attached and visibly distinct from the paw. Only one front paw is raised at a time, and the hindquarters stay on the floor throughout. From 1.95 to 2.15 seconds, the wand pauses while the cat watches with both front paws down. From 2.15 to 2.60 seconds, the wand withdraws smoothly along a short path toward the viewer's right and exits completely through the same edge. The cat follows with its eyes and a small head turn, keeping both front paws on the floor. By 2.70 seconds, it rests in a comfortable upright seated pose, looking slightly toward the departed toy. This attentive posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the toy stays outside the frame and the cat maintains this posture with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with a locked camera and grounded shadows following the paw movements. The entire cat remains inside the original frame with clear margins throughout. Only the cat and this single connected wand occupy the scene; the feather tuft moves below the chin, keeping the eyes and face unobstructed.

overall_soundscape: Quiet studio ambience continues beneath a faint feather rustle and two soft paw-to-feather contacts during the alternating taps between 0.60 and 1.95 seconds. Light paw-pad landings accompany each paw's return to the floor. A final soft feather rustle ends as the wand leaves by 2.60 seconds; after 2.70 seconds, only room tone and faint breathing remain.

non_diegetic_music: N/A
"
cat_ids/24_挪威森林猫琥珀色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat makes one small forward-and-upward hop, lands softly and returns to a comfortable upright seated pose. From 0.00 to 0.30 seconds, it holds the initial seated pose. At 0.30 seconds, one quiet off-screen tongue click draws its gaze slightly above the camera. From 0.30 to 0.85 seconds, the cat leans its chest slightly forward, raises the hindquarters out of the seated position and folds the hind legs into a compact crouch, with both front paws still touching the floor. From 0.85 to 1.10 seconds, the hind legs extend to push against the floor while both front paws lift and reach a short distance forward. From 1.10 to 1.35 seconds, the body travels through one low, compact arc, with all four paws visibly clear of the floor together for a brief moment. The head and chest stay low enough to preserve the available headroom, and the paws remain beneath or just ahead of the body. From 1.35 to 1.65 seconds, the front paws touch down first, followed closely by the hind paws; the elbows and hind legs bend to absorb the landing. The landing is no more than one front-paw length ahead of the starting position. The shadow stays on the floor, visibly separating from the paws during the hop and reconnecting at landing. From 1.65 to 2.50 seconds, the cat lowers its hindquarters, makes a small front-paw placement adjustment beneath the shoulders and raises its chest into an upright, front-facing seated pose near the starting position. By 2.70 seconds, it is comfortably balanced with both front paws on the floor and a relaxed, attentive gaze. This seated posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the camera position, perspective, focal length, crop, focus, exposure, white balance, reference background, floor and lighting consistent. The entire cat, including the ears, paws and any visible tail, remains inside the original frame with clear margins throughout. Only the cat is visible, and the surrounding floor stays clear.

overall_soundscape: Quiet studio room tone continues throughout. One soft off-screen tongue click at 0.30 seconds is followed by faint paw movement during the crouch, a muted push-off and closely spaced soft paw-pad impacts during the landing between 1.35 and 1.65 seconds. The final paw adjustment finishes by 2.70 seconds, leaving only room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/24_挪威森林猫琥珀色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat stays seated while playing with one feather teaser wand, making two light alternating front-paw taps before settling. From 0.00 to 0.20 seconds, it holds the initial seated pose. From 0.20 to 0.60 seconds, one small feather tuft attached directly to the tip of a slender flexible rod enters smoothly from the viewer's right. The tuft stops just ahead of the cat's lower chest, slightly toward the viewer's right and within easy paw reach. The visible rod extends continuously from the tuft through the right edge to an off-screen holder; the holder and hand remain outside the frame. The cat's eyes track the tuft and its head follows with a small turn. From 0.60 to 1.15 seconds, the tuft makes one short sideways sway. Keeping the hindquarters seated and the anatomical right front paw, on the viewer's left, planted for support, the cat lifts its anatomical left front paw, on the viewer's right, taps the tuft once and returns that paw to the floor. From 1.15 to 1.95 seconds, the rod guides the tuft through a short arc toward the viewer's left, just in front of the chest. The cat transfers support onto the now-planted left front paw, lifts the anatomical right front paw, taps the tuft once and returns that paw to the floor. Each paw contact briefly bends the feathers and deflects the rod tip; the tuft remains attached and visibly distinct from the paw. Only one front paw is raised at a time, and the hindquarters stay on the floor throughout. From 1.95 to 2.15 seconds, the wand pauses while the cat watches with both front paws down. From 2.15 to 2.60 seconds, the wand withdraws smoothly along a short path toward the viewer's right and exits completely through the same edge. The cat follows with its eyes and a small head turn, keeping both front paws on the floor. By 2.70 seconds, it rests in a comfortable upright seated pose, looking slightly toward the departed toy. This attentive posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the toy stays outside the frame and the cat maintains this posture with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with a locked camera and grounded shadows following the paw movements. The entire cat remains inside the original frame with clear margins throughout. Only the cat and this single connected wand occupy the scene; the feather tuft moves below the chin, keeping the eyes and face unobstructed.

overall_soundscape: Quiet studio ambience continues beneath a faint feather rustle and two soft paw-to-feather contacts during the alternating taps between 0.60 and 1.95 seconds. Light paw-pad landings accompany each paw's return to the floor. A final soft feather rustle ends as the wand leaves by 2.60 seconds; after 2.70 seconds, only room tone and faint breathing remain.

non_diegetic_music: N/A
"
cat_ids/25_西伯利亚猫银色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat makes one small forward-and-upward hop, lands softly and returns to a comfortable upright seated pose. From 0.00 to 0.30 seconds, it holds the initial seated pose. At 0.30 seconds, one quiet off-screen tongue click draws its gaze slightly above the camera. From 0.30 to 0.85 seconds, the cat leans its chest slightly forward, raises the hindquarters out of the seated position and folds the hind legs into a compact crouch, with both front paws still touching the floor. From 0.85 to 1.10 seconds, the hind legs extend to push against the floor while both front paws lift and reach a short distance forward. From 1.10 to 1.35 seconds, the body travels through one low, compact arc, with all four paws visibly clear of the floor together for a brief moment. The head and chest stay low enough to preserve the available headroom, and the paws remain beneath or just ahead of the body. From 1.35 to 1.65 seconds, the front paws touch down first, followed closely by the hind paws; the elbows and hind legs bend to absorb the landing. The landing is no more than one front-paw length ahead of the starting position. The shadow stays on the floor, visibly separating from the paws during the hop and reconnecting at landing. From 1.65 to 2.50 seconds, the cat lowers its hindquarters, makes a small front-paw placement adjustment beneath the shoulders and raises its chest into an upright, front-facing seated pose near the starting position. By 2.70 seconds, it is comfortably balanced with both front paws on the floor and a relaxed, attentive gaze. This seated posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the camera position, perspective, focal length, crop, focus, exposure, white balance, reference background, floor and lighting consistent. The entire cat, including the ears, paws and any visible tail, remains inside the original frame with clear margins throughout. Only the cat is visible, and the surrounding floor stays clear.

overall_soundscape: Quiet studio room tone continues throughout. One soft off-screen tongue click at 0.30 seconds is followed by faint paw movement during the crouch, a muted push-off and closely spaced soft paw-pad impacts during the landing between 1.35 and 1.65 seconds. The final paw adjustment finishes by 2.70 seconds, leaving only room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/25_西伯利亚猫银色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat stays seated while playing with one feather teaser wand, making two light alternating front-paw taps before settling. From 0.00 to 0.20 seconds, it holds the initial seated pose. From 0.20 to 0.60 seconds, one small feather tuft attached directly to the tip of a slender flexible rod enters smoothly from the viewer's right. The tuft stops just ahead of the cat's lower chest, slightly toward the viewer's right and within easy paw reach. The visible rod extends continuously from the tuft through the right edge to an off-screen holder; the holder and hand remain outside the frame. The cat's eyes track the tuft and its head follows with a small turn. From 0.60 to 1.15 seconds, the tuft makes one short sideways sway. Keeping the hindquarters seated and the anatomical right front paw, on the viewer's left, planted for support, the cat lifts its anatomical left front paw, on the viewer's right, taps the tuft once and returns that paw to the floor. From 1.15 to 1.95 seconds, the rod guides the tuft through a short arc toward the viewer's left, just in front of the chest. The cat transfers support onto the now-planted left front paw, lifts the anatomical right front paw, taps the tuft once and returns that paw to the floor. Each paw contact briefly bends the feathers and deflects the rod tip; the tuft remains attached and visibly distinct from the paw. Only one front paw is raised at a time, and the hindquarters stay on the floor throughout. From 1.95 to 2.15 seconds, the wand pauses while the cat watches with both front paws down. From 2.15 to 2.60 seconds, the wand withdraws smoothly along a short path toward the viewer's right and exits completely through the same edge. The cat follows with its eyes and a small head turn, keeping both front paws on the floor. By 2.70 seconds, it rests in a comfortable upright seated pose, looking slightly toward the departed toy. This attentive posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the toy stays outside the frame and the cat maintains this posture with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with a locked camera and grounded shadows following the paw movements. The entire cat remains inside the original frame with clear margins throughout. Only the cat and this single connected wand occupy the scene; the feather tuft moves below the chin, keeping the eyes and face unobstructed.

overall_soundscape: Quiet studio ambience continues beneath a faint feather rustle and two soft paw-to-feather contacts during the alternating taps between 0.60 and 1.95 seconds. Light paw-pad landings accompany each paw's return to the floor. A final soft feather rustle ends as the wand leaves by 2.60 seconds; after 2.70 seconds, only room tone and faint breathing remain.

non_diegetic_music: N/A
"
cat_ids/26_涅瓦假面猫海豹山猫纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat makes one small forward-and-upward hop, lands softly and returns to a comfortable upright seated pose. From 0.00 to 0.30 seconds, it holds the initial seated pose. At 0.30 seconds, one quiet off-screen tongue click draws its gaze slightly above the camera. From 0.30 to 0.85 seconds, the cat leans its chest slightly forward, raises the hindquarters out of the seated position and folds the hind legs into a compact crouch, with both front paws still touching the floor. From 0.85 to 1.10 seconds, the hind legs extend to push against the floor while both front paws lift and reach a short distance forward. From 1.10 to 1.35 seconds, the body travels through one low, compact arc, with all four paws visibly clear of the floor together for a brief moment. The head and chest stay low enough to preserve the available headroom, and the paws remain beneath or just ahead of the body. From 1.35 to 1.65 seconds, the front paws touch down first, followed closely by the hind paws; the elbows and hind legs bend to absorb the landing. The landing is no more than one front-paw length ahead of the starting position. The shadow stays on the floor, visibly separating from the paws during the hop and reconnecting at landing. From 1.65 to 2.50 seconds, the cat lowers its hindquarters, makes a small front-paw placement adjustment beneath the shoulders and raises its chest into an upright, front-facing seated pose near the starting position. By 2.70 seconds, it is comfortably balanced with both front paws on the floor and a relaxed, attentive gaze. This seated posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the camera position, perspective, focal length, crop, focus, exposure, white balance, reference background, floor and lighting consistent. The entire cat, including the ears, paws and any visible tail, remains inside the original frame with clear margins throughout. Only the cat is visible, and the surrounding floor stays clear.

overall_soundscape: Quiet studio room tone continues throughout. One soft off-screen tongue click at 0.30 seconds is followed by faint paw movement during the crouch, a muted push-off and closely spaced soft paw-pad impacts during the landing between 1.35 and 1.65 seconds. The final paw adjustment finishes by 2.70 seconds, leaving only room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/26_涅瓦假面猫海豹山猫纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat stays seated while playing with one feather teaser wand, making two light alternating front-paw taps before settling. From 0.00 to 0.20 seconds, it holds the initial seated pose. From 0.20 to 0.60 seconds, one small feather tuft attached directly to the tip of a slender flexible rod enters smoothly from the viewer's right. The tuft stops just ahead of the cat's lower chest, slightly toward the viewer's right and within easy paw reach. The visible rod extends continuously from the tuft through the right edge to an off-screen holder; the holder and hand remain outside the frame. The cat's eyes track the tuft and its head follows with a small turn. From 0.60 to 1.15 seconds, the tuft makes one short sideways sway. Keeping the hindquarters seated and the anatomical right front paw, on the viewer's left, planted for support, the cat lifts its anatomical left front paw, on the viewer's right, taps the tuft once and returns that paw to the floor. From 1.15 to 1.95 seconds, the rod guides the tuft through a short arc toward the viewer's left, just in front of the chest. The cat transfers support onto the now-planted left front paw, lifts the anatomical right front paw, taps the tuft once and returns that paw to the floor. Each paw contact briefly bends the feathers and deflects the rod tip; the tuft remains attached and visibly distinct from the paw. Only one front paw is raised at a time, and the hindquarters stay on the floor throughout. From 1.95 to 2.15 seconds, the wand pauses while the cat watches with both front paws down. From 2.15 to 2.60 seconds, the wand withdraws smoothly along a short path toward the viewer's right and exits completely through the same edge. The cat follows with its eyes and a small head turn, keeping both front paws on the floor. By 2.70 seconds, it rests in a comfortable upright seated pose, looking slightly toward the departed toy. This attentive posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the toy stays outside the frame and the cat maintains this posture with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with a locked camera and grounded shadows following the paw movements. The entire cat remains inside the original frame with clear margins throughout. Only the cat and this single connected wand occupy the scene; the feather tuft moves below the chin, keeping the eyes and face unobstructed.

overall_soundscape: Quiet studio ambience continues beneath a faint feather rustle and two soft paw-to-feather contacts during the alternating taps between 0.60 and 1.95 seconds. Light paw-pad landings accompany each paw's return to the floor. A final soft feather rustle ends as the wand leaves by 2.60 seconds; after 2.70 seconds, only room tone and faint breathing remain.

non_diegetic_music: N/A
"
cat_ids/27_布偶猫蓝双色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat makes one small forward-and-upward hop, lands softly and returns to a comfortable upright seated pose. From 0.00 to 0.30 seconds, it holds the initial seated pose. At 0.30 seconds, one quiet off-screen tongue click draws its gaze slightly above the camera. From 0.30 to 0.85 seconds, the cat leans its chest slightly forward, raises the hindquarters out of the seated position and folds the hind legs into a compact crouch, with both front paws still touching the floor. From 0.85 to 1.10 seconds, the hind legs extend to push against the floor while both front paws lift and reach a short distance forward. From 1.10 to 1.35 seconds, the body travels through one low, compact arc, with all four paws visibly clear of the floor together for a brief moment. The head and chest stay low enough to preserve the available headroom, and the paws remain beneath or just ahead of the body. From 1.35 to 1.65 seconds, the front paws touch down first, followed closely by the hind paws; the elbows and hind legs bend to absorb the landing. The landing is no more than one front-paw length ahead of the starting position. The shadow stays on the floor, visibly separating from the paws during the hop and reconnecting at landing. From 1.65 to 2.50 seconds, the cat lowers its hindquarters, makes a small front-paw placement adjustment beneath the shoulders and raises its chest into an upright, front-facing seated pose near the starting position. By 2.70 seconds, it is comfortably balanced with both front paws on the floor and a relaxed, attentive gaze. This seated posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the camera position, perspective, focal length, crop, focus, exposure, white balance, reference background, floor and lighting consistent. The entire cat, including the ears, paws and any visible tail, remains inside the original frame with clear margins throughout. Only the cat is visible, and the surrounding floor stays clear.

overall_soundscape: Quiet studio room tone continues throughout. One soft off-screen tongue click at 0.30 seconds is followed by faint paw movement during the crouch, a muted push-off and closely spaced soft paw-pad impacts during the landing between 1.35 and 1.65 seconds. The final paw adjustment finishes by 2.70 seconds, leaving only room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/27_布偶猫蓝双色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat stays seated while playing with one feather teaser wand, making two light alternating front-paw taps before settling. From 0.00 to 0.20 seconds, it holds the initial seated pose. From 0.20 to 0.60 seconds, one small feather tuft attached directly to the tip of a slender flexible rod enters smoothly from the viewer's right. The tuft stops just ahead of the cat's lower chest, slightly toward the viewer's right and within easy paw reach. The visible rod extends continuously from the tuft through the right edge to an off-screen holder; the holder and hand remain outside the frame. The cat's eyes track the tuft and its head follows with a small turn. From 0.60 to 1.15 seconds, the tuft makes one short sideways sway. Keeping the hindquarters seated and the anatomical right front paw, on the viewer's left, planted for support, the cat lifts its anatomical left front paw, on the viewer's right, taps the tuft once and returns that paw to the floor. From 1.15 to 1.95 seconds, the rod guides the tuft through a short arc toward the viewer's left, just in front of the chest. The cat transfers support onto the now-planted left front paw, lifts the anatomical right front paw, taps the tuft once and returns that paw to the floor. Each paw contact briefly bends the feathers and deflects the rod tip; the tuft remains attached and visibly distinct from the paw. Only one front paw is raised at a time, and the hindquarters stay on the floor throughout. From 1.95 to 2.15 seconds, the wand pauses while the cat watches with both front paws down. From 2.15 to 2.60 seconds, the wand withdraws smoothly along a short path toward the viewer's right and exits completely through the same edge. The cat follows with its eyes and a small head turn, keeping both front paws on the floor. By 2.70 seconds, it rests in a comfortable upright seated pose, looking slightly toward the departed toy. This attentive posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the toy stays outside the frame and the cat maintains this posture with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with a locked camera and grounded shadows following the paw movements. The entire cat remains inside the original frame with clear margins throughout. Only the cat and this single connected wand occupy the scene; the feather tuft moves below the chin, keeping the eyes and face unobstructed.

overall_soundscape: Quiet studio ambience continues beneath a faint feather rustle and two soft paw-to-feather contacts during the alternating taps between 0.60 and 1.95 seconds. Light paw-pad landings accompany each paw's return to the floor. A final soft feather rustle ends as the wand leaves by 2.60 seconds; after 2.70 seconds, only room tone and faint breathing remain.

non_diegetic_music: N/A
"
cat_ids/28_伯曼猫海豹重点色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat makes one small forward-and-upward hop, lands softly and returns to a comfortable upright seated pose. From 0.00 to 0.30 seconds, it holds the initial seated pose. At 0.30 seconds, one quiet off-screen tongue click draws its gaze slightly above the camera. From 0.30 to 0.85 seconds, the cat leans its chest slightly forward, raises the hindquarters out of the seated position and folds the hind legs into a compact crouch, with both front paws still touching the floor. From 0.85 to 1.10 seconds, the hind legs extend to push against the floor while both front paws lift and reach a short distance forward. From 1.10 to 1.35 seconds, the body travels through one low, compact arc, with all four paws visibly clear of the floor together for a brief moment. The head and chest stay low enough to preserve the available headroom, and the paws remain beneath or just ahead of the body. From 1.35 to 1.65 seconds, the front paws touch down first, followed closely by the hind paws; the elbows and hind legs bend to absorb the landing. The landing is no more than one front-paw length ahead of the starting position. The shadow stays on the floor, visibly separating from the paws during the hop and reconnecting at landing. From 1.65 to 2.50 seconds, the cat lowers its hindquarters, makes a small front-paw placement adjustment beneath the shoulders and raises its chest into an upright, front-facing seated pose near the starting position. By 2.70 seconds, it is comfortably balanced with both front paws on the floor and a relaxed, attentive gaze. This seated posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the cat maintains the posture reached by 2.70 seconds, with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the camera position, perspective, focal length, crop, focus, exposure, white balance, reference background, floor and lighting consistent. The entire cat, including the ears, paws and any visible tail, remains inside the original frame with clear margins throughout. Only the cat is visible, and the surrounding floor stays clear.

overall_soundscape: Quiet studio room tone continues throughout. One soft off-screen tongue click at 0.30 seconds is followed by faint paw movement during the crouch, a muted push-off and closely spaced soft paw-pad impacts during the landing between 1.35 and 1.65 seconds. The final paw adjustment finishes by 2.70 seconds, leaving only room tone and faint breathing.

non_diegetic_music: N/A
"
cat_ids/28_伯曼猫海豹重点色.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and scene in <Picture 1>. This is one continuous four-second shot. The cat stays seated while playing with one feather teaser wand, making two light alternating front-paw taps before settling. From 0.00 to 0.20 seconds, it holds the initial seated pose. From 0.20 to 0.60 seconds, one small feather tuft attached directly to the tip of a slender flexible rod enters smoothly from the viewer's right. The tuft stops just ahead of the cat's lower chest, slightly toward the viewer's right and within easy paw reach. The visible rod extends continuously from the tuft through the right edge to an off-screen holder; the holder and hand remain outside the frame. The cat's eyes track the tuft and its head follows with a small turn. From 0.60 to 1.15 seconds, the tuft makes one short sideways sway. Keeping the hindquarters seated and the anatomical right front paw, on the viewer's left, planted for support, the cat lifts its anatomical left front paw, on the viewer's right, taps the tuft once and returns that paw to the floor. From 1.15 to 1.95 seconds, the rod guides the tuft through a short arc toward the viewer's left, just in front of the chest. The cat transfers support onto the now-planted left front paw, lifts the anatomical right front paw, taps the tuft once and returns that paw to the floor. Each paw contact briefly bends the feathers and deflects the rod tip; the tuft remains attached and visibly distinct from the paw. Only one front paw is raised at a time, and the hindquarters stay on the floor throughout. From 1.95 to 2.15 seconds, the wand pauses while the cat watches with both front paws down. From 2.15 to 2.60 seconds, the wand withdraws smoothly along a short path toward the viewer's right and exits completely through the same edge. The cat follows with its eyes and a small head turn, keeping both front paws on the floor. By 2.70 seconds, it rests in a comfortable upright seated pose, looking slightly toward the departed toy. This attentive posture continues through 3.00 seconds. From 3.00 to 4.00 seconds, the toy stays outside the frame and the cat maintains this posture with only faint breathing and tiny settling movements. Preserve the individual cat's facial proportions, each anatomical eye's reference color, body proportions, paw anatomy, coat or bare-skin appearance, markings, ear type and existing tail anatomy as the pose changes. Keep the reference framing, background, floor and lighting consistent, with a locked camera and grounded shadows following the paw movements. The entire cat remains inside the original frame with clear margins throughout. Only the cat and this single connected wand occupy the scene; the feather tuft moves below the chin, keeping the eyes and face unobstructed.

overall_soundscape: Quiet studio ambience continues beneath a faint feather rustle and two soft paw-to-feather contacts during the alternating taps between 0.60 and 1.95 seconds. Light paw-pad landings accompany each paw's return to the floor. A final soft feather rustle ends as the wand leaves by 2.60 seconds; after 2.70 seconds, only room tone and faint breathing remain.

non_diegetic_music: N/A
"
