input_image,prompt
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The cat settles from sitting into a compact, curled sleeping pose, turning its head and shoulders toward its anatomical left, the viewer's right from the opening pose. It begins the descent early: the eyelids grow heavy, the chin dips, and the front paws make short adjustments directly under the chest. Both elbows fold, bringing the chest down toward the gathered paws. The hindquarters lower beside the chest and the hind legs tuck inward as the spine curves into a small C shape. The shoulders and hips draw together into one compact oval footprint, with the belly facing the floor and the flank resting gently against it. The forepaws fold inward beneath the face during the descent, while the existing tail settles naturally alongside the hindquarters. Once the body is fully lowered, the cat rests its chin on the gathered front paws near the viewer's right side of the curled shape, closes its eyes completely and lets the shoulders relax. The settling movement is smooth and purposeful, leaving the final part of the shot for a quiet sleeping hold. The shot ends with the cat still curled up, head down and eyes closed, with a small, steady rise and fall of the flank. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio room tone with small paw adjustments and a soft body contact as the cat folds down, followed by calm, faint breathing during the sleeping pause.

non_diegetic_music: N/A
"
cat_ids/00_短毛橘猫鱼骨纹.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The cat settles from sitting into a compact, curled sleeping pose, turning its head and shoulders toward its anatomical right, the viewer's left from the opening pose. It begins the descent early: the eyelids grow heavy, the chin dips, and the front paws make short adjustments directly under the chest. Both elbows fold, bringing the chest down toward the gathered paws. The hindquarters lower beside the chest and the hind legs tuck inward as the spine curves into a small C shape. The shoulders and hips draw together into one compact oval footprint, with the belly facing the floor and the flank resting gently against it. The forepaws fold inward beneath the face during the descent, while the existing tail settles naturally alongside the hindquarters. Once the body is fully lowered, the cat rests its chin on the gathered front paws near the viewer's left side of the curled shape, closes its eyes completely and lets the shoulders relax. The settling movement is smooth and purposeful, leaving the final part of the shot for a quiet sleeping hold. The shot ends with the cat still curled up, head down and eyes closed, with a small, steady rise and fall of the flank. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio room tone with small paw adjustments and a soft body contact as the cat folds down, followed by calm, faint breathing during the sleeping pause.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The main visible action is one complete, relaxed slow blink, accompanied by quiet breathing and small, lifelike changes in attention. The cat begins breathing gently right away, with a subtle rise and fall through the chest and shoulders. Its eyes make a tiny gaze adjustment and the head inclines slightly. Early in the shot, both eyelids lower together until the eyes are fully closed, remain closed for a brief, clearly readable beat, then reopen smoothly and completely. This full close-and-open movement is clearly visible in the face. As the eyes reopen, the chin lifts a little and the muzzle relaxes. A small weight adjustment passes through the seated shoulders while the front paws comfortably support the body. For the remainder of the shot, the cat stays quietly attentive with open, relaxed eyes, a slight natural head angle and continuing soft breathing. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio room tone with faint cat breathing and a very soft incidental paw movement as the seated weight shifts.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The main action is one brief, gentle outward tug of the cat's anatomical left ear, which is on the viewer's right in the opening pose. The tip is drawn a short distance diagonally outward and slightly upward toward the viewer's right, away from the crown of the head. The tip leads and the upper ear follows in a small, soft bend while the base stays attached. The visible displacement opens the space between the tip and the crown. The ear keeps its normal length and characteristic upright, folded or curled structure from the image. At the small peak of the tug, the head follows by a tiny amount and the eyelids briefly narrow in a mild, relaxed reaction. The pull releases promptly: the ear springs most of the way back, makes one much smaller settling movement, then relaxes at its natural resting angle. The head follows back a little later, the eyes reopen comfortably, and the shoulders soften with an exhale. The cat finishes seated and calmly attentive, with a slight spontaneous head adjustment and continuing breathing. The tug is conveyed entirely by the ear motion and the cat's response; no person, hand or pulling device appears. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio room tone and faint breathing, with a soft incidental body movement as the head settles.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The main action is one brief, gentle outward tug of the cat's anatomical right ear, which is on the viewer's left in the opening pose. The tip is drawn a short distance diagonally outward and slightly upward toward the viewer's left, away from the crown of the head. The tip leads and the upper ear follows in a small, soft bend while the base stays attached. The visible displacement opens the space between the tip and the crown. The ear keeps its normal length and characteristic upright, folded or curled structure from the image. At the small peak of the tug, the head follows by a tiny amount and the eyelids briefly narrow in a mild, relaxed reaction. The pull releases promptly: the ear springs most of the way back, makes one much smaller settling movement, then relaxes at its natural resting angle. The head follows back a little later, the eyes reopen comfortably, and the shoulders soften with an exhale. The cat finishes seated and calmly attentive, with a slight spontaneous head adjustment and continuing breathing. The tug is conveyed entirely by the ear motion and the cat's response; no person, hand or pulling device appears. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio room tone and faint breathing, with a soft incidental body movement as the head settles.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. One small, tightly wound wool ball with a compact round outline rolls into view from the viewer's left along the foreground floor, moving toward the viewer's right. The cat notices the ball, tracks it with its eyes and makes a small following head turn. It transfers a little weight onto the anatomical left front paw and lifts its anatomical right front paw, on the viewer's left in the opening pose. The lifted paw reaches in a short, smooth arc and places its pads against the upper surface of the rolling ball. The ball visibly slows and stops under this light contact. After a brief curious pause, the same paw gives one gentle nudge toward the viewer's right. The ball rolls away with visible rotation and a grounded contact shadow, keeping its size and remaining distinct from the paw. As it continues beyond the viewer's right edge, the cat lowers the active paw comfortably to the floor and follows the departing ball with a small head-and-eye movement. The shot finishes with this attentive gaze, relaxed shoulders and gentle breathing. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The scene contains only the cat and this single ball; the ball has no loose trailing strand, and no person or hand enters.

overall_soundscape: A soft wool ball rolls across the floor from left to right, pauses under a muted paw contact, then rolls away after a light nudge. One soft paw-pad landing is heard over quiet studio ambience.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. One small, tightly wound wool ball with a compact round outline rolls into view from the viewer's right along the foreground floor, moving toward the viewer's left. The cat notices the ball, tracks it with its eyes and makes a small following head turn. It transfers a little weight onto the anatomical right front paw and lifts its anatomical left front paw, on the viewer's right in the opening pose. The lifted paw reaches in a short, smooth arc and places its pads against the upper surface of the rolling ball. The ball visibly slows and stops under this light contact. After a brief curious pause, the same paw gives one gentle nudge toward the viewer's left. The ball rolls away with visible rotation and a grounded contact shadow, keeping its size and remaining distinct from the paw. As it continues beyond the viewer's left edge, the cat lowers the active paw comfortably to the floor and follows the departing ball with a small head-and-eye movement. The shot finishes with this attentive gaze, relaxed shoulders and gentle breathing. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The scene contains only the cat and this single ball; the ball has no loose trailing strand, and no person or hand enters.

overall_soundscape: A soft wool ball rolls across the floor from right to left, pauses under a muted paw contact, then rolls away after a light nudge. One soft paw-pad landing is heard over quiet studio ambience.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The cat voluntarily rolls toward its anatomical left, the viewer's right from the opening pose, until it is resting on its back with its belly exposed. It first softens the elbows and tips its hips to that side. The flank touches the floor gently, then the shoulders and pelvis continue rotating together onto the back. The movement settles into a compact diagonal within the existing frame, keeping the face, belly and paws visible. The back rests against the floor, the belly faces upward and is clearly visible to the camera, both front paws curl loosely above the chest, and the hind legs remain comfortably bent. After settling into this belly-up pose, one raised forepaw makes a single loose, short sweep through the air above the belly, then bends back toward the chest. The other forepaw stays softly lifted. The eyes soften into a brief partial squint and open again; the head nestles against the floor while the shoulders and hips make a small accompanying rock. The shot ends with the cat still resting comfortably belly-up at a slight angle, the paws loosely curled and the chest breathing gently. The movement is self-initiated, and no person or hand appears. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio ambience with soft paw shifts, a gentle body contact with the floor and a light surface movement as the cat rocks and settles. Faint breathing continues during the relaxed belly-up pause.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The cat voluntarily rolls toward its anatomical right, the viewer's left from the opening pose, until it is resting on its back with its belly exposed. It first softens the elbows and tips its hips to that side. The flank touches the floor gently, then the shoulders and pelvis continue rotating together onto the back. The movement settles into a compact diagonal within the existing frame, keeping the face, belly and paws visible. The back rests against the floor, the belly faces upward and is clearly visible to the camera, both front paws curl loosely above the chest, and the hind legs remain comfortably bent. After settling into this belly-up pose, one raised forepaw makes a single loose, short sweep through the air above the belly, then bends back toward the chest. The other forepaw stays softly lifted. The eyes soften into a brief partial squint and open again; the head nestles against the floor while the shoulders and hips make a small accompanying rock. The shot ends with the cat still resting comfortably belly-up at a slight angle, the paws loosely curled and the chest breathing gently. The movement is self-initiated, and no person or hand appears. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Quiet studio ambience with soft paw shifts, a gentle body contact with the floor and a light surface movement as the cat rocks and settles. Faint breathing continues during the relaxed belly-up pause.

non_diegetic_music: N/A
"
cat_ids/01_短毛橘猫经典虎斑.png,"For the target video, at 0.00 seconds into the target video, <Picture 1> (from [Shot 1]) is fully referenced.

integrated_multimodal_description: [Shot 1] Live-action, photorealistic studio pet footage. A static medium full-body shot begins with the seated cat and the scene shown in <Picture 1>. The cat calmly grooms its anatomical left front paw, on the viewer's right in the opening pose. Its weight shifts gently onto the anatomical right front paw and the seated hindquarters. The active paw lifts by bending the elbow and wrist, rising in a small arc toward the mouth. The head lowers slightly to meet it, and the eyes soften with a relaxed, focused expression. The tongue extends for one clearly visible lick across the raised paw, retracts fully, pauses briefly, then makes a second visible lick and retracts again. The paw stays distinct from the muzzle, with small natural wrist adjustments between the two contacts. After grooming, the cat closes its mouth, lets the head rise slightly and lowers the paw comfortably onto the floor. The shoulders resettle and the eyes make a small glance toward the freshly groomed paw. The shot ends in a relaxed seated posture with gentle breathing and a natural slight head angle. Throughout the shot, preserve this individual cat's facial proportions, each eye's reference color, coat or bare-skin appearance, markings, ear type and existing tail anatomy as its pose changes. The reference framing, lighting, background and floor remain consistent; the cat's contact shadows respond naturally to its movement. The cat is alone, with the surrounding floor clear throughout. 

overall_soundscape: Two quiet wet licking sounds are separated by a short pause. A faint body movement and one soft paw-pad landing are heard over steady studio room tone.

non_diegetic_music: N/A
"
